프로젝트명,대항목,순서,작업내용,상태,비고,첨부,업데이트일
SLH1 #5호기,기구물 Setting,8,"L/D, UL/D Middle Rail Up/Down 높이,평탄,직진도 SETTING (T-TRAY 사용)
 -> T-Tray 사용,UP/DOWN 상태에서 T-Tray가 흘려 내려가지 않게 SETTING
 -> Stopper 사용하여 UP/DOWN 높이 레벨 조정 (Up :48.5mm, Down :  42.5mm)
 -> UP 상태일때 후면부 Rail 한쪽이 안맞는다면 후면부 쪽Rail 위치 조정 필요",✅ 완료,,,최염광 (26-03-13)
SLH1 #5호기,기구물 Setting,9,"배출 Fan 장착 및 전원 Connect 연결
 -> I/O 번호 확인, OS에서 FAN Check 확인",✅ 완료,,,최염광 (26-03-13)
SLH1 #5호기,기구물 Setting,10,Hand Vac/Blow Air Line CDA Main to Hand Regulator Direct Connect Setting,✅ 완료,,,최염광 (26-03-30)
SLH1 #5호기,기구물 Setting,11,LD/ULD Gripper Up/Down Air Line 스피드콘 장착,✅ 완료,,,최염광 (26-03-13)
SLH1 #5호기,기구물 Setting,12,LD/EMPTY Stacker Align Guide 1번 JIG 장착 상태 Setting,✅ 완료,,,최염광 (26-03-28)
SLH1 #5호기,기구물 Setting,13,"LD/ULD Hand Deviation Sensor Setting
- LD Hand T-Tray Place Pos' -5.0mm 적용 후 Setting
- ULD Hand Fix Buffer Place 후 -12.00mm 적용 후 Setting
  -> ULD Hand Z축 Motor Touqe 값 확인 후 Setting 필요.",✅ 완료,Reject Buffer Pos' ULD Hand Picker Cylinder UP 상태 Z-Axis Down Check Sequence 수정,,최염광 (26-03-13)
SLH1 #5호기,직진도 측정,1,"LD Hand X,Y축 직진도 (±0.5mm) Setting 및 측정
- Dial Gauge Indicator 0.01mm(바늘)",✅ 완료,,,최염광 (26-03-07)
SLH1 #5호기,직진도 측정,2,"ULD Hand X,Y축 직진도 (±0.5mm) Setting 및 측정
- Dial Gauge Indicator 0.01mm(바늘)",✅ 완료,,,최염광 (26-03-07)
SLH1 #5호기,직진도 측정,3,"LD Transfer X,Z축 직진도 평탄도(±0.3mm) SETTING 및 측정
 ->dial gauge Indicator  0.01mm(바늘) 
 -> 모든 무두 볼트 풀어놓은 후 측정 후 무드 볼트 조정
 -> Z 축 ±Limit Sensor 이동, Hard Stopper 위치변경",✅ 완료,,,최염광 (26-03-07)
SLH1 #5호기,직진도 측정,4,"ULD Transfer X,Z축 직진도(±0.3mm) SETTING 및 측정
 ->dial gauge Indicator  0.01mm(바늘) 
 -> 모든 무두 볼트 풀어놓은 후 측정 후 무드 볼트 조정
 -> Z 축 ±Limit Sensor 이동, Hard Stopper 위치변경",✅ 완료,,,최염광 (26-03-07)
SLH1 #5호기,직진도 측정,5,"Set-Plate 직진도( ±0.2) Setting 및 측정
 ->dial gauge Indicator  0.01mm(바늘) 
 -> Hand Robot에 가네텍 마그네틱 베이스 
 -> Set-Plate Guage Block 안착 후 X축 이동",✅ 완료,,,최염광 (26-03-07)
SLH1 #5호기,평탄도 측정,1,"LD Stacker 1,2 Base 평탄도(±0.2mm) Setting 및 측정
- Base Up 상태 측정.
- 디지털 전자 수평계 사용 X,Y축 ±0.2mm 이내",✅ 완료,,,최염광 (26-03-07)
SLH1 #5호기,평탄도 측정,2,"ULD Stacker 1,2 Base 평탄도(±0.2mm) Setting 및 측정
- Base Up 상태 측정.
- 디지털 전자 수평계 사용 X,Y축 ±0.2mm 이내",✅ 완료,,,최염광 (26-03-07)
SLH1 #5호기,평탄도 측정,3,"Empty , Reject Stacker Base 평탄도(±0.2mm) Setting 및 측정
- Base Up 상태 측정.
- 디지털 전자 수평계 사용 X,Y축 ±0.2mm 이내",✅ 완료,,,최염광 (26-03-07)
SLH1 #5호기,평탄도 측정,4,"InPut-> Testsite -> Out T-Tray 평탄도 Setting 및 측정
- 디지털 전자 수평계 사용 X,Y축 ±0.2mm 이내",✅ 완료,,,최염광 (26-03-07)
SLH1 #5호기,Software,1,OS 설치,✅ 완료,,,최염광 (26-03-07)
SLH1 #5호기,Software,2,"Motor Parameter Setting 및 다회전 클리어
- S/W 팀 요청
- 다회전 클리어 방법: Panaterm Ver.6.0 다운 후 해당 Parameter Servo Drive에 케이블 연결 -> 앰프 접속 -> 확인 -> 모니터 -> 다회전 클리어 클릭 -> 완료",✅ 완료,,,최염광 (26-03-07)
SLH1 #5호기,Software,3,"BCR, Vision Setting",✅ 완료,,,최염광 (26-03-07)
SLH1 #5호기,Software,4,LD/ULD Hand 반진동 Test,✅ 완료,,,최염광 (26-03-11)
SLH1 #5호기,조립정밀도,1,LD/ULD Hand Pitch 측정(Pitch JIG 삽입),✅ 완료,,,최염광 (26-03-07)
SLH1 #5호기,조립정밀도,2,"LD/ULD Hand Z-axis 측정
 - Cylinder Down 상태(±0.15mm)
- Dial Gauge Indicator 0.01mm(바늘)",✅ 완료,,,최염광 (26-03-07)
SLH1 #5호기,조립정밀도,3,"Set-Plate Down Hard Stopper 높이 SETTING (24mm) 및 측정
ex) L/D 1,2 : 21mm UL/D 1,2 24mm pass",✅ 완료,,,최염광 (26-03-07)
SLH1 #5호기,조립정밀도,4,Transfer JIG -> Set-Plate -> Stacker JIG Setting,✅ 완료,,,최염광 (26-03-07)
SLH1 #5호기,Test Site 평탄도,1,"Front, Rear Press 평탄도(±0.25mm) Setting 및 측정
- 디지털 거리 측정기, 측정 지그 사용
- 무두 볼트 풀어놓은 후 측정 -> + 수치가 제일 큰 부분에 리셋 -> 무두 볼트 사용하여 평탄도 Setting",✅ 완료,,,최염광 (26-03-07)
SLH1 #5호기,Test Site 평탄도,2,"Front, Rear Press Load Cell (0.2bar, 0.29bar) Setting 및 측정
- Load Cell, 측정 지그
- 언 컨텍 값(기구 이동 가능), 컨택값(해당 수치 도달 지점)
- Load Cell 로드를 Match Plate X,Y 중간에서 컨택 해야함",✅ 완료,,,최염광 (26-03-07)
SLH1 #5호기,Test Site 평탄도,3,"Front, Rear T-Tray Rail 평탄도(±0.2mm) Setting 및 측정
- 디지털 전자 수평계 사용
- 측정 위치 : T-Tray 왼쪽 중간 오른쪽",✅ 완료,,,최염광 (26-03-07)
